x,y,text
20,620,A
45,620,problem
150,620,has
204,620,been
270,620,detected
390,620,and
442,620,windows
547,620,has
600,620,been
666,620,shut
732,620,down
797,620,to
838,620,prevent
944,620,damage
1035,620,to
1074,620,your
1140,620,computer.
0,56,The
33,56,problem
97,59,seems
144,58,to
169,56,be
193,56,caused
249,56,by
272,56,the
304,56,following
384,56,file:
433,58,SPCMDCON.
507,47,Svs
1,86,PAGE_FAULT_IN_NONPAGED_AREA
1,112,If
24,112,this
65,112,is
88,112,the
120,112,first
168,112,time
208,112,you've
265,115,seen
304,112,this
345,114,Stop
385,115,error
433,115,"screen,"
1,128,restart
64,129,your
105,128,computer.
185,126,If
208,126,this
249,129,screen
305,129,appears
369,126,"again,"
424,126,follow
0,140,these
49,142,steps:
0,168,check
48,170,to
72,168,make
113,171,sure
153,171,any
185,171,new
217,168,hardware
289,171,or
313,168,software
385,168,is
409,168,properly
481,168,installed.
1,182,If
24,182,this
65,182,is
89,185,a
105,185,new
137,182,"installation,"
249,182,ask
280,185,your
321,182,hardware
393,185,or
417,182,software
488,182,manufacturer
0,196,For
33,199,any
64,196,windows
129,196,updates
192,199,you
224,196,might
273,196,need.
1,224,If
25,224,problems
97,224,"continue,"
177,224,disable
241,227,or
265,227,remove
321,227,any
353,224,newly
401,224,installed
481,224,hardware
1,241,or
25,238,software.
105,238,Disable
169,240,BIOS
208,241,memory
265,238,aptions
329,238,such
369,241,as
393,238,caching
457,241,or
481,238,shadowing.
1,252,IF
24,255,you
57,252,need
96,254,ta
121,255,use
153,252,Safe
192,252,Mode
232,254,to
257,255,remove
313,255,or
337,252,disable
401,254,"components,"
497,254,restart
0,269,your
41,268,"computer,"
121,269,press
169,267,F8
192,268,to
217,266,select
272,266,Advanced
345,268,Startup
408,266,"Options,"
481,266,and
512,266,then
1,280,Select
57,280,Safe
96,280,made.
0,308,technical
81,308,information:
1,337,“#
33,338,STOP:
81,337,0x00000050
170,336,"COxFD3094C2,"
268,329,"0x00000001,"
354,329,"OxFEFE76L7,"
443,329,0x00000000)
1,379,ww
41,380,SPCMDCON.
113,369,SYS
145,384,-
160,378,Address
225,379,FBFE7617
297,378,base
337,380,at
361,379,"FBFES0O0,"
441,380,DateStamp
521,378,3dedd67c
